"price","m2","district"
1990000,104,3
1236000,134,10
416500,31,6
313500,38,10
1500000,105,9
330000,30,10
620000,4,6
259000,16,6
145000,15,10
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
550000,43,4
180000,14,5
310000,16,6
945000,66,3
2400000,126,7
665600,46,7
225000,13,7
340000,30,5
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1990000,104,3
1236000,134,10
416500,31,6
313500,38,10
1500000,105,9
330000,30,10
620000,4,6
259000,16,6
145000,15,10
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
550000,43,4
180000,14,5
310000,16,6
945000,66,3
2400000,126,7
665600,46,7
225000,13,7
340000,30,5
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1990000,104,3
1236000,134,10
416500,31,6
313500,38,10
1500000,105,9
330000,30,10
620000,4,6
259000,16,6
145000,15,10
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
550000,43,4
180000,14,5
310000,16,6
945000,66,3
2400000,126,7
665600,46,7
225000,13,7
340000,30,5
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1990000,104,3
1236000,134,10
416500,31,6
313500,38,10
1500000,105,9
330000,30,10
620000,4,6
259000,16,6
145000,15,10
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
679000,67,9
450000,40,10
699000,47,7
330000,22,6
2200000,123,7
800000,60,9
1090000,77,6
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
679000,67,9
450000,40,10
699000,47,7
330000,22,6
2200000,123,7
800000,60,9
1090000,77,6
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
679000,67,9
450000,40,10
699000,47,7
330000,22,6
2200000,123,7
800000,60,9
1090000,77,6
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
679000,67,9
450000,40,10
699000,47,7
330000,22,6
2200000,123,7
800000,60,9
1090000,77,6
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
1990000,104,3
1236000,134,10
416500,31,6
313500,38,10
1500000,105,9
330000,30,10
620000,4,6
259000,16,6
145000,15,10
1050000,84,7
375000,39,10
550000,41,9
1150000,90,5
55000,5,10
550000,43,4
180000,14,5
310000,16,6
945000,66,3
2400000,126,7
665600,46,7
225000,13,7
340000,30,5
450000,35,6
525000,77,10
807000,73,10
325000,23,5
550000,53,3
1450000,135,9
310000,40,10
1300000,139,10
86000,10,9
